sentence,label
u have some work,0
will eat u up instead of food,1
nope not taht ive seen,1
no im going to talk to you before i leave and i want you there before i leave,1
just worried that we will get caught and i will go to jail,1
because our backgrounds are black,0
Well ill let u know what i have going on this week,1
nope never had the chance to finish,1
your new pic looks good,1
i wish i could meet u i would get nude for u,1
anything you like to is ok with me,1
I  just  stay in my hometown,0
ur cool ur sexy ur beuatiful,1
HOW OLD  R U,0
after work i hardly ever see him,1
or can i add u,1
so it wouldnt be boring like b4,1
wut you do today,1
i would just let you suck till you could not suck any more,0
when it arrives to the switch the switch knows which mac is on which interface,0
neither can i i cant wait to be with u,1
lol oh poor bay whihc mean u wll be going to bed early as well,1
do u tuch it,1
shitty i didnt goto class,1
so u get a webcam yet lol,1
i looked at the hotel and i have to come on sunday,1
i used a iptable rule generator from here,0
cool we can be anughtytogeterh then,1
not having to work around dads schedule,0
but you would prob get tired of me,1
i dont just sleep with women,1
Must be something in yoru neighborhood,1
young girls on ones side and lady across the street,1
no thats all i took for now baby,1
well what is he insecure about or does he hate,1
will you be on for a while,1
You killed my grandfather,0
but youre too young to work,1
wait what time is it,0
luv you more honey,1
no not this week but one soon i hope i hv to plan my work schudles out but hope it isnt to long i am so pissed iwe missed on the 24th,1
cause i they didnt have me on the list to work yesterday and i dont know if they r gonna make me work next saturday,1
i wanna do erotic things with you,1
really or u just saying that,1
dont discuss anything with any1,1
I told you how big I was didnt i,1
but i have ask you a fue things,1
but I know I got the answers right,1
so it wont be a pblm right me staying over,1
hey love i need to drive you can watch me i am in la grande or and i need 2 be delieverd by 2pm today i am only 2 hrs to drive tho,1
its a submarine in hawaii,1
Wish u were on baby,1
no ETA on scripting context issue,0
what do u do there at the apartment,1
i miss you too darling,1
go without panties on,1
the closer it gets the more excited i get abt it,1
mmmmm very sexy and yummy baby,1
such a dangerous question,1
have you sittin right on top my of mface,1
maybe bf and gf lata on,1
yeah i would go with a button instead,0
would you like to get me naked,1
i can be throu the snow in 3 to 4 hrs once i get down to oakridge or i can take my chains off then drive on clean roads,1
hey wuts up hun how u been,1
this one seems to be the same but way more complete,0
i had no idea this kind of stuff even existed,0
what is the measurment of ur tits,1
there are no words to tel u how beautiful u are,1
i just got here,0
because i dont think she could be that mean without something else helping,1
i am going to bed cutie,1
do anything with any gusy lately,1
is it for you,1
are u going to be able to call me later on,1
that wud be romantic as well lol,1
i got a mini van and a station wagon lol,1
i figured as much,1
i hate people around me,0
how far is it from your place,1
is there any hotels around there,1
then go to apartment,1
you might like trophy scars one day,1
first concert ever was pink floyd for my 12th birthday in 1994,0
wut you up too morrow night,1
it not really sticking up for either,1
just oral and kissing,1
got Lions game sunday,1
it seems like it,1
you like oil or lotion,1
perhaps check if syslog is running,0
hao do you do,0
I wish I had made things more composable,0
why up so early,0
whats on your mind,1
its all about u,1
would you do stuff with her too,1
just depends on what you need,0
no had to change battery,1
oh ok thank u for wait for me,1
i am porn actress,0
ahh im listening 2 kid cudi,0
nothing me 2 i thout of u,1
just want to make sure u do,1
sometimes that is what i feel like,1
i still work out under ratm,0
would you like kiss me for real,1
she gets to go through thier clothes when they out grow them,1
do u like movies,1
not much what abt u,1
what are you doing,1
oh i know u will get the chance,1
what u doing fall to sleep,1
you are so young,0
Im a nice guy when you get ta get me,0
and killing them in the most horrible ways,1
I am not fake,1
yea yea i know u prefer it that way lol,1
ur a lot more fun to tlak to than she is,1
would you like maybe meet next week,1
and jsut ur lacy panties god tht would be a turn on for me knowing u were doing thta,1
just on for a coupl eminutes,1
never have done such a thing,1
ud love my daddy cock spliting ur pussy lips to go so deep inside u and ud feel daddys hard cock throbbin in u,1
record you with the dog,1
sorry to tell u these,1
if ne1 tells her ill get in big truble,0
hey I have to go,1
i didnt ask soon enough,1
or a lightning protector for the power line,0
is there other in petaluma,1
u can play with mine,1
i like to drive but yeah i do,1
backslash or single quote,0
i wan to hug u but u never answer my question lol,1
IM NOT LOOKING FOR A GF,0
i am off work,1
its for my business,0
u sound liek u r,1
maybe talk later today,1
cool glad u at least had a good time,1
